uid,id,screen_name,description,followers_count,friends_count,statuses_count,gender,province,city,location,description,star,svip,vvip,is_teenager,created_at
1968758563,6462358973,小米多尼克,,78,156,113,f,100,1000,其他,,0,0,0,0,Tue Jan 16 09:08:59 +0800 2018
1968758563,2376328934,seol-hwa,"Don't give up,just be you,cause life's too short to be anybody else",69,61,0,f,44,3,广东 深圳,"Don't give up,just be you,cause life's too short to be anybody else",0,0,0,0,Tue Sep 06 23:31:01 +0800 2011
1968758563,1016244220,Eeele,为自己活着，还是为他人活着！？知足常乐！,280,131,2910,f,33,3,浙江 温州,为自己活着，还是为他人活着！？知足常乐！,0,0,0,0,Mon Aug 29 21:29:08 +0800 2011
1968758563,5253699334,向阳的小太阳fight,个性较强势热爱自由喜欢在书中陶醉自己,122,418,292,f,14,9,山西 忻州,个性较强势热爱自由喜欢在书中陶醉自己,0,0,0,0,Sat Aug 16 12:21:20 +0800 2014
1968758563,5690606014,daisy_linjia,,35,69,12,f,14,10,山西 临汾,,0,0,0,0,Mon Aug 31 13:13:01 +0800 2015
1968758563,2728225881,青青501314,,5,18,1,m,22,1000,吉林,,0,0,0,0,Mon Feb 11 10:08:42 +0800 2013
1968758563,3066557157,大大大大大的柚子子,,603,1328,478,f,37,1,山东 济南,,0,0,0,0,Fri Jan 11 12:56:24 +0800 2013
1968758563,5400269074,没事我已经控制住她了,努力生活 重新出发,3899,252,22819,f,50,13,重庆 巴南区,努力生活 重新出发,0,0,0,0,Sat Dec 06 09:34:51 +0800 2014
1968758563,2098481090,五花肉有小肉包,ψ(｀∇´)ψ,1187,579,36,f,44,3,广东 深圳,ψ(｀∇´)ψ,0,0,0,0,Tue Apr 12 19:04:41 +0800 2011
1968758563,2819027194,Emily寶呗,容得下生命的不完美，也经得起世事的颠簸。,89,290,13,f,61,1,陕西 西安,容得下生命的不完美，也经得起世事的颠簸。,0,0,0,0,Fri Jun 01 15:13:47 +0800 2012
