uid,id,screen_name,description,followers_count,friends_count,statuses_count,gender,province,city,location,description,star,svip,vvip,is_teenager,created_at
6336556296,7864257859,舒适堡A,做唯一的微博人,2,537,969,m,100,1000,其他,做唯一的微博人,0,0,0,0,Sat Aug 19 03:47:02 +0800 2023
6336556296,2870159423,小猪佩奇味儿的老干妈,贩卖少女心❤️一个喜欢吃🥞喝🍹玩🎮乐🎧的小仙女👩‍💻,686,1671,3069,f,53,29,云南 大理,贩卖少女心❤️一个喜欢吃🥞喝🍹玩🎮乐🎧的小仙女👩‍💻,0,0,0,0,Thu Jul 05 14:56:56 +0800 2012
6336556296,6522586552,ZennYo_,IG：nuyoah_ew,90,57,47,f,36,1000,江西,IG：nuyoah_ew,0,0,0,0,Sat Apr 07 08:50:44 +0800 2018
6336556296,1842721617,长风八百里-,…,121,363,136,f,44,1000,广东,…,0,0,0,0,Sat Oct 30 23:14:14 +0800 2010
6336556296,7418764819,用户7418764819,,0,116,1,f,100,1000,其他,,0,0,0,0,Tue Mar 24 15:52:30 +0800 2020
6336556296,5723981917,tyyrytsdfs,,69,629,14,m,41,1,河南 郑州,,0,0,0,0,Sun Oct 11 13:45:33 +0800 2015
6336556296,6611618460,木薋,like a star✨,5,410,392,f,100,1000,其他,like a star✨,0,0,0,0,Tue Jul 24 17:59:39 +0800 2018
6336556296,7533810745,筱雨_漓月,,1,90,7,f,81,1,香港 其他,,0,0,0,0,Thu Dec 10 10:03:07 +0800 2020
6336556296,7864862618,用户7864862618200812,,0,214,0,m,100,1000,其他,,0,0,0,0,Tue Aug 22 21:06:21 +0800 2023
6336556296,7549923955,精研新能,精研新能,0,3,3,f,100,1000,其他,精研新能,0,0,0,0,Thu Jan 14 11:51:11 +0800 2021
6336556296,2543221942,胖兔兔好馋,随心向往 随遇而安,91,538,490,f,37,1,山东 济南,随心向往 随遇而安,0,0,0,0,Mon Nov 21 13:28:23 +0800 2011
6336556296,7730355950,用户7730355950,,0,39,0,m,100,1000,其他,,0,0,0,0,Tue Dec 21 13:42:00 +0800 2021
